image_path,claimed_identity,is_genuine,factor,enhance,score,latency_ms
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\182552.jpg,1154,True,2,False,0.5088565945625305,2398.6555999945267
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\182552.jpg,1154,True,2,True,0.47686833143234253,428.55170000257203
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\029838.jpg,6233,True,4,False,0.24688290059566498,285.7841000004555
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\029838.jpg,6233,True,4,True,0.26551148295402527,289.5656999971834
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\114844.jpg,1128,True,8,False,0.049539241939783096,282.81690000585513
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\114844.jpg,1128,True,8,True,0.04580642282962799,284.6962000039639
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\126462.jpg,7253,True,2,False,0.30334314703941345,285.24340000149095
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\126462.jpg,7253,True,2,True,0.2708450257778168,900.8438000018941
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\035821.jpg,4968,True,4,False,0.25853249430656433,282.8670000017155
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\035821.jpg,4968,True,4,True,0.3266901671886444,279.01260000362527
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\117103.jpg,975,True,8,False,0.04783681035041809,273.94810000259895
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\117103.jpg,975,True,8,True,0.055252738296985626,286.9596999953501
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\017442.jpg,7338,True,2,False,0.4322994351387024,318.3887000050163
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\017442.jpg,7338,True,2,True,0.47525113821029663,299.8070000030566
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\031248.jpg,5648,True,4,False,0.14316560328006744,297.0690000001923
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\031248.jpg,5648,True,4,True,0.1928296685218811,297.99780000030296
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\023315.jpg,9688,True,8,False,0.02963990718126297,273.97259999997914
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\023315.jpg,9688,True,8,True,0.031436383724212646,430.40080000355374
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\187727.jpg,6195,True,2,False,0.37006476521492004,285.58499999780906
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\187727.jpg,6195,True,2,True,0.34934231638908386,303.3119999963674
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\154541.jpg,494,True,4,False,0.40481385588645935,281.4243000029819
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\154541.jpg,494,True,4,True,0.46965184807777405,291.5543000053731
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\131165.jpg,1147,True,8,False,0.06616011261940002,291.00159999507014
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\131165.jpg,1147,True,8,True,0.05878414958715439,290.67079999367706
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\104914.jpg,7222,True,2,False,0.41253724694252014,290.86349999852246
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\104914.jpg,7222,True,2,True,0.45243552327156067,292.93499999766937
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\021154.jpg,898,True,4,False,0.42945706844329834,289.9401999966358
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\021154.jpg,898,True,4,True,0.2876548171043396,296.7062999960035
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\029772.jpg,7222,True,8,False,0.12851625680923462,296.638100000564
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\029772.jpg,7222,True,8,True,0.11438190191984177,292.65660000237403
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\005710.jpg,7422,True,2,False,0.41688424348831177,290.9312999981921
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\005710.jpg,7422,True,2,True,0.3314754366874695,225.2312000055099
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\006012.jpg,5672,True,4,False,0.25551095604896545,278.0803999994532
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\006012.jpg,5672,True,4,True,0.38084858655929565,300.10520000359975
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\017190.jpg,6368,True,8,False,0.07637124508619308,287.572099994577
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\017190.jpg,6368,True,8,True,0.07381164282560349,286.08369999710703
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\001045.jpg,4150,True,2,False,0.5180079936981201,282.22619999723975
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\001045.jpg,4150,True,2,True,0.48418644070625305,290.96410000056494
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\046765.jpg,6806,True,4,False,0.5217039585113525,284.1905000022962
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\046765.jpg,6806,True,4,True,0.4824322462081909,284.06680000625784
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\123880.jpg,5099,True,8,False,0.02749558910727501,296.99320000509033
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\123880.jpg,5099,True,8,True,0.009862853214144707,287.4539000040386
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\157894.jpg,8,True,2,False,0.6650941967964172,281.1145999949076
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\157894.jpg,8,True,2,True,0.6937543749809265,283.089899996412
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\014739.jpg,6136,True,4,False,0.3209093511104584,284.9884000024758
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\014739.jpg,6136,True,4,True,0.2808230221271515,290.05030000553234
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\057479.jpg,5238,True,8,False,0.023406611755490303,294.63050000049407
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\057479.jpg,5238,True,8,True,0.024750612676143646,305.14750000293134
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\029464.jpg,6170,True,2,False,0.8235282897949219,284.32579999935115
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\029464.jpg,6170,True,2,True,0.7202574014663696,292.5410000025295
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\061852.jpg,8,True,4,False,0.2791845202445984,284.28929999790853
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\061852.jpg,8,True,4,True,0.3026583194732666,288.7661999993725
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\110424.jpg,2926,True,8,False,0.038907796144485474,290.94980000081705
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\110424.jpg,2926,True,8,True,0.055725716054439545,287.91549999732524
