image_path,claimed_identity,is_genuine,occlusion_type,robust,score,latency_ms
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\124544.jpg,4659,True,mask,False,0.06561971455812454,2535.8301000014762
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\124544.jpg,4659,True,mask,True,0.13917014002799988,14718.594900004973
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\151648.jpg,5238,True,glasses,False,0.4653090834617615,292.39699999743607
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\151648.jpg,5238,True,glasses,True,0.4653090834617615,291.7957000026945
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\160546.jpg,5064,True,mask,False,0.03943488374352455,288.05799999827286
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\160546.jpg,5064,True,mask,True,0.0403677336871624,284.44560000207275
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\056698.jpg,6368,True,glasses,False,0.4953814148902893,291.17820000101347
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\056698.jpg,6368,True,glasses,True,0.4953814148902893,292.9052999970736
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\189663.jpg,8936,True,mask,False,0.12493354082107544,292.4942000026931
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\189663.jpg,8936,True,mask,True,0.12733696401119232,288.31959999661194
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\190218.jpg,8415,True,glasses,False,0.09328418970108032,292.2831000032602
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\190218.jpg,8415,True,glasses,True,0.09328418970108032,291.0942999951658
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\172516.jpg,1120,True,mask,False,0.003467183792963624,297.93380000046454
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\172516.jpg,1120,True,mask,True,0.06834308058023453,11406.311200000346
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\177578.jpg,190,True,glasses,False,0.5246251821517944,278.182599999127
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\177578.jpg,190,True,glasses,True,0.5246251821517944,284.3055999983335
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\048199.jpg,8091,True,mask,False,0.07561873644590378,284.6748000010848
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\048199.jpg,8091,True,mask,True,0.09039781242609024,11758.627999995952
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\178570.jpg,190,True,glasses,False,0.4929336905479431,287.0331000012811
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\178570.jpg,190,True,glasses,True,0.4929336905479431,288.6293999981717
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\038978.jpg,8971,True,mask,False,0.06933793425559998,292.75849999976344
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\038978.jpg,8971,True,mask,True,0.05222121626138687,11247.623600000225
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\132299.jpg,2814,True,glasses,False,0.5511937141418457,290.1560999962385
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\132299.jpg,2814,True,glasses,True,0.5511937141418457,291.3793999978225
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\116516.jpg,9910,True,mask,False,0.9480175971984863,284.506700001657
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\116516.jpg,9910,True,mask,True,0.973227858543396,11212.917199998628
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\194818.jpg,8027,True,glasses,False,0.4813387393951416,291.12110000278335
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\194818.jpg,8027,True,glasses,True,0.4813387393951416,291.7416999989655
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\076593.jpg,9910,True,mask,False,0.936020016670227,282.25799999927403
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\076593.jpg,9910,True,mask,True,0.9358591437339783,11280.943999998271
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\152306.jpg,975,True,glasses,False,0.6154348254203796,289.30269999546
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\152306.jpg,975,True,glasses,True,0.6154348254203796,289.0804000053322
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\161075.jpg,9000,True,mask,False,0.03301786258816719,288.5744000013801
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\161075.jpg,9000,True,mask,True,0.037324994802474976,11296.436700002232
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\060447.jpg,5672,True,glasses,False,0.4173358678817749,296.85820000304375
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\060447.jpg,5672,True,glasses,True,0.4173358678817749,298.24789999838686
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\020395.jpg,8834,True,mask,False,0.03765057027339935,284.7879999972065
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\020395.jpg,8834,True,mask,True,0.03650691360235214,11556.741699998383
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\035571.jpg,6170,True,glasses,False,0.5017818212509155,291.04849999566795
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\035571.jpg,6170,True,glasses,True,0.5017818212509155,287.45570000319276
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\192581.jpg,8027,True,mask,False,0.07484962791204453,295.01600000367034
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\192581.jpg,8027,True,mask,True,0.08066462725400925,11289.05289999966
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\095778.jpg,5246,True,glasses,False,0.32187148928642273,284.85570000339067
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\095778.jpg,5246,True,glasses,True,0.32187148928642273,294.2213999995147
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\097991.jpg,7338,True,mask,False,0.18515349924564362,297.9524999973364
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\097991.jpg,7338,True,mask,True,0.17224687337875366,11246.99690000125
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\071290.jpg,9144,True,glasses,False,0.7213861346244812,291.5410999994492
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\071290.jpg,9144,True,glasses,True,0.7213861346244812,284.4210000039311
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\121054.jpg,1147,True,mask,False,0.05826311931014061,288.1751000022632
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\121054.jpg,1147,True,mask,True,0.09564536809921265,11291.144099996018
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\086205.jpg,898,True,glasses,False,0.4959971010684967,287.31259999767644
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\086205.jpg,898,True,glasses,True,0.4959971010684967,289.380499998515
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\057467.jpg,5190,True,mask,False,0.04011794924736023,286.00100000039674
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\057467.jpg,5190,True,mask,True,0.038681238889694214,11213.617699999304
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\112838.jpg,8834,True,glasses,False,0.18109551072120667,290.0264999989304
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\112838.jpg,8834,True,glasses,True,0.18109551072120667,290.98879999946803
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\060980.jpg,6086,True,mask,False,0.12220559269189835,306.4645000049495
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\060980.jpg,6086,True,mask,True,0.12075553089380264,11856.641600003059
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\154628.jpg,5064,True,glasses,False,0.8993163108825684,274.1743000005954
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\154628.jpg,5064,True,glasses,True,0.8993163108825684,281.4505000060308
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\009263.jpg,6719,True,mask,False,0.07874639332294464,295.1505000019097
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\009263.jpg,6719,True,mask,True,0.13512754440307617,11318.046100001084
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\198456.jpg,5872,True,glasses,False,0.31948572397232056,280.5097000018577
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\198456.jpg,5872,True,glasses,True,0.31948572397232056,278.9976999993087
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\058232.jpg,6456,True,mask,False,0.35030093789100647,278.12669999548234
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\058232.jpg,6456,True,mask,True,0.3491117060184479,282.5401000009151
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\160727.jpg,6136,True,glasses,False,0.317012220621109,285.68100000120467
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\160727.jpg,6136,True,glasses,True,0.317012220621109,298.2862999997451
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\198511.jpg,8027,True,mask,False,0.06578298658132553,284.76709999813465
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\198511.jpg,8027,True,mask,True,0.09789840131998062,11215.980499997386
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\178532.jpg,1350,True,glasses,False,0.6578637957572937,281.7916000058176
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\178532.jpg,1350,True,glasses,True,0.6578637957572937,290.31290000420995
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\002042.jpg,878,True,mask,False,0.03511263430118561,281.96139999636216
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\002042.jpg,878,True,mask,True,0.02918434888124466,11202.198099999805
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\114750.jpg,6277,True,glasses,False,0.26119548082351685,279.22859999671346
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\114750.jpg,6277,True,glasses,True,0.26119548082351685,280.1486999960616
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\193112.jpg,8415,True,mask,False,0.05106024071574211,292.9145000016433
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\193112.jpg,8415,True,mask,True,0.22814102470874786,11559.172499997658
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\044294.jpg,5246,True,glasses,False,0.36435210704803467,315.76489999861224
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\044294.jpg,5246,True,glasses,True,0.36435210704803467,303.0021000013221
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\138587.jpg,7338,True,mask,False,0.17951145768165588,317.098999999871
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\138587.jpg,7338,True,mask,True,0.1798449009656906,11395.777899997483
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\056998.jpg,6136,True,glasses,False,0.22243066132068634,284.34980000020005
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\056998.jpg,6136,True,glasses,True,0.22243066132068634,294.9895999990986
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\061232.jpg,503,True,mask,False,0.348327100276947,300.9959000046365
